Prefix,Effective Date,InternationalRate,Description
614910,2/27/2015,0.052,Australia - Mobile - Telstra
614911,2/27/2015,0.052,Australia - Mobile - Telstra
614912,2/27/2015,0.052,Australia - Mobile - Telstra
614913,2/27/2015,0.052,Australia - Mobile - Telstra
614914,2/27/2015,0.052,Australia - Mobile - Telstra
61404,2/27/2015,0.052,Australia - Mobile - VHA
61405,2/27/2015,0.052,Australia - Mobile - VHA
61406,2/27/2015,0.052,Australia - Mobile - VHA
61410,2/27/2015,0.052,Australia - Mobile - VHA
61414,2/27/2015,0.052,Australia - Mobile - VHA
61415,2/27/2015,0.052,Australia - Mobile - VHA
61416,2/27/2015,0.052,Australia - Mobile - VHA
61424,2/27/2015,0.052,Australia - Mobile - VHA
61425,2/27/2015,0.052,Australia - Mobile - VHA
61426,2/27/2015,0.052,Australia - Mobile - VHA
61430,2/27/2015,0.052,Australia - Mobile - VHA
61433,2/27/2015,0.052,Australia - Mobile - VHA
61449,2/27/2015,0.052,Australia - Mobile - VHA
61450,2/27/2015,0.052,Australia - Mobile - VHA
61451,2/27/2015,0.052,Australia - Mobile - VHA
61452,2/27/2015,0.052,Australia - Mobile - VHA
61453,2/27/2015,0.052,Australia - Mobile - VHA
614202,2/27/2015,0.052,Australia - Mobile - VHA
614203,2/27/2015,0.052,Australia - Mobile - VHA
614204,2/27/2015,0.052,Australia - Mobile - VHA
614205,2/27/2015,0.052,Australia - Mobile - VHA
614206,2/27/2015,0.052,Australia - Mobile - VHA
614207,2/27/2015,0.052,Australia - Mobile - VHA
614208,2/27/2015,0.052,Australia - Mobile - VHA
614209,2/27/2015,0.052,Australia - Mobile - VHA
61861,2/27/2015,0.014,Australia - Perth
61862,2/27/2015,0.014,Australia - Perth
61863,2/27/2015,0.014,Australia - Perth
61864,2/27/2015,0.014,Australia - Perth
61865,2/27/2015,0.014,Australia - Perth
61892,2/27/2015,0.014,Australia - Perth
61893,2/27/2015,0.014,Australia - Perth
61894,2/27/2015,0.014,Australia - Perth
6114,2/27/2015,2.53333,Australia - Satellite Services
6113,2/27/2015,0.02667,Australia - Shared Cost Service
6118,2/27/2015,0.02667,Australia - Shared Cost Service
61000,2/27/2015,0.02667,Australia - Shared Cost Service
61106,2/27/2015,0.02667,Australia - Shared Cost Service
61112,2/27/2015,0.02667,Australia - Shared Cost Service
6128,2/27/2015,0.014,Australia - Sydney
6129,2/27/2015,0.014,Australia - Sydney
43,2/27/2015,0.00733,Austria
43660,2/27/2015,0.0188,Austria - Mobile - Hutchison 3G
43678,2/27/2015,0.0188,Austria - Mobile - Hutchison 3G
43664,2/27/2015,0.0188,Austria - Mobile - Mobilkom A1
43680,2/27/2015,0.0188,Austria - Mobile - Mobilkom A1
43688,2/27/2015,0.0188,Austria - Mobile - Mobilkom A1
4369988,2/27/2015,0.0188,Austria - Mobile - Mobilkom A1
4369989,2/27/2015,0.0188,Austria - Mobile - Mobilkom A1
43681,2/27/2015,0.0188,Austria - Mobile - One
43699,2/27/2015,0.0188,Austria - Mobile - One
43650,2/27/2015,0.0188,Austria - Mobile - T-Mobile
43676,2/27/2015,0.0188,Austria - Mobile - T-Mobile
43677,2/27/2015,0.0188,Austria - Mobile - T-Mobile
4312288,2/27/2015,0.02893,Austria - Mobile Truck Locator Service
43123009,2/27/2015,0.02893,Austria - Mobile Truck Locator Service
43711,2/27/2015,0.2804,Austria - Premium numbers
43730,2/27/2015,0.2804,Austria - Premium numbers
